Stat,Sheet,Formula,Notes
Number of teams involved,trades,"How many teams were in the trade — this team plus every counterparty. 2 for a normal swap, 3+ for a multi-team deal.",
Link to next transaction per asset,trades,"For each asset RECEIVED (in 'Assets received' order), a clickable jump to that asset's NEXT event — '#N' transactions, 'T#N' trades, 'PH#N' picks — as a ';'-joined list aligned 1:1. Players follow the player chain; picks follow their pick chain and stop at the draft row; FAAB is blank.","In the xlsx, exploded into one clickable column per received asset."
Link to previous transaction per asset,trades,"For each asset RECEIVED, a clickable jump to that asset's PREVIOUS event (same '#N' / 'T#N' / 'PH#N' scheme), ';'-joined 1:1. Built from the received side, so a trade's two mirror rows don't link to each other.","In the xlsx, exploded into one clickable column per received asset."
Team age including picks,team_week / team_year / team_all_time / league_week / league_year / league_all_time,Team's average age counting future draft picks as well as rostered players — so a team hoarding picks reads younger (the tank signal). Mean age over rostered players + held future picks that week; picks are aged as future rookies (~21-22). Year/all-time/league average the weekly values.,Feeds the tanking calculation in place of the rostered-only age.
Avg PPG of received players on team,trades,"Points per game the received side actually produced for this team. Each received player's mean points from the trade to his next exit, averaged; a received pick counts the player drafted with it over his tenure here (only if this team made the pick).","nflverse game log, so only games played count. A not-yet-drafted or flipped pick contributes nothing."
Avg PPG of sent players over same time,trades,"What the sent side would have given you over the same span — each sent player's mean points across the received players' collective tenure, averaged.",
Avg PPG of received players in 5 games before trade,trades,"The received players' recent form just before the trade. Each one's mean points over his 5 most-recent NFL games before the trade date, averaged (fewer than 5 → what's available).",
Difference of averages,trades,"How much better the received side produced per game than the side given up, over the forward-looking window. Avg PPG of received players on team − Avg PPG of sent players over same time.",Positive = the received players out-scored the sent players.
Difference of averages adjusted by position,trades,"The same received − sent PPG gap, but each side scaled for position so a cross-position trade is judged on positional value. Each PPG × (league starter avg / position avg).",
Trade addition value,trades,"Overall grade of a trade for this team, mirroring the transaction 'Player addition value' plus a pick term. (Difference of averages adjusted by position) × (1 + received players' % of starts) × (1 + their injury-adjusted % of starts) + 5 if any received player was a handcuff + a future-pick term (received − sent picks, round-weighted like tanking and scaled so a future 1st ≈ +5).",Pick term counts only next-3-season capital and applies even to a pick-only haul; players drafted with received picks feed the PPG side.
Points added,trades,"Points the received side put up in weeks it started for this team. Each week, sum the points of every received asset that STARTED (received players + players drafted with received picks).",Started weeks/points come from player_week.
Points lost,trades,"The best plays you forwent: each week with k received starters, the points of the top-k players traded away that week (sent picks count the player drafted with them).",Counterfactual points from the nflverse game log; the top-k rule generalizes the 1-for-1 transaction Points Lost.
Net points,trades,Net started-week production the deal gained this team. Points added − Points lost.,Positive = the received side out-produced the best-k sent assets.
Avg points added,trades,Points added per matched week (weeks with ≥1 received starter). Points added / matched weeks.,
Avg points lost,trades,Points lost per matched week. Points lost / matched weeks.,
Avg net points,trades,Net points per matched week. Net points / matched weeks.,
Avg points added adjusted by position,trades,"Avg points added with each received asset's points scaled for its position, so positions compare. Each × (league starter avg / position avg) before summing.",
Avg points lost adjusted by position,trades,"Avg points lost with each sent asset's points scaled for position. Keeps the same top-k assets (chosen by raw points), then sums their position-adjusted points.",
Avg net points adjusted by position,trades,Position-normalised net of the deal. Avg points added adjusted by position − Avg points lost adjusted by position.,
Number,picks,The pick's 'round.slot' label in DRAFT ORDER (e.g. '1.05' = 5th pick of round 1). Snake drafts (2021 rookie) reverse even rounds; a future pick shows '2.??' until its season drafts.,"Synthetic draft-day picks: '2.09' = the toilet-bracket reward (2024+); '5.01, 5.02, …' = the 20-FAAB draft-day buys (2025+). For slot comparisons 2.09 counts as 2.08 and each 5.0X as 4.08."
Original Team,picks,"The team that originally owned this pick before any trades — the team in that draft slot per Sleeper. For a traded pick, the chain's origin.","Distinct from 'Team'. ESPN-era picks fall back to the slot owner, else the picker."
Team,player_week / team_week / team_year / team_all_time / transactions / trades / picks,The team that actually MADE the selection (the last owner in the trade chain). Equals Original Team when the pick wasn't traded.,"For 2021 rookie-draft even rounds (corrupt Sleeper data), repaired from who first rostered the drafted player."
Length of tenure on team,picks,"How long the drafted player stayed on the team that drafted him, in days. Draft day (≈ Aug 28) to his next exit off that team, or to today if still rostered.",Blank for an unmade pick; every made pick is ≥ 0 (an unmappable player falls back to 0).
Avg PPG on team,picks,Fantasy points per game the drafted player produced for the team that drafted him. Mean points over the games he played from draft day to his next exit off that team (or today).,Blank if he was never rostered here for an NFL week (or an unmade pick); 0 if rostered but logged no games.
Avg PPG on team adjusted by position,picks,"Avg PPG on team scaled for position, so a 12-PPG TE isn't judged like a 12-PPG QB. × (league starter avg / position avg).",Blank / 0 exactly when Avg PPG on team is.
Avg career PPG,picks,"How the pick panned out overall: the drafted player's points per game across all his NFL games from the draft onward (every team, not just the drafter). Vets count only post-draft games.",0 for a made pick whose player never played post-draft; blank only for an unmade pick. nflverse coverage is 2021+.
Avg career PPG adjusted by position,picks,Avg career PPG scaled for position. × (league starter avg / position avg).,Blank / 0 exactly when Avg career PPG is.
Age when drafted,picks,"How old the player a pick became was on draft day. Age in decimal years at the draft anchor (≈ Aug 28), from birth_date.",Blank for an unmade pick or a player with no birth_date.
Player addition value,picks,"Overall grade of the pick, like the transactions version but with no 'dropped' side. (Avg PPG on team adjusted by position) × (1 + % of starts made while rostered by drafting team) × (1 + injury-adjusted % of starts) + 5 if Cuff when drafted?.","Blank when the player never played an NFL week for the drafter, or for an unmade pick."
Cuff when drafted?,picks,"Was the pick a handcuff to a stud the team already had? TRUE if, at the player's first week on the drafting team, it already rostered a same-NFL-team, same-position STARTER averaging 10+ more PPG over the last 5 played games.",Judged at his first rostered week (a rookie's NFL team/position isn't known until he plays). Feeds Player addition value.
Weeks before first start,picks,How many weeks the drafted player sat on the drafting team's roster before his first start for them.,Blank if he never started for the drafter (or an unmade pick).
Number of starts before next transaction,picks,How many weeks the drafted player started for the drafting team before leaving it (trade/drop).,≥ 0 for every made pick (0 if he never started); blank for an unmade pick.
% of starts made while rostered by drafting team,picks,Share of his rostered weeks the drafted player started for the drafting team. starts / weeks rostered over the post-draft tenure.,Blank if never rostered an NFL week here; 0 if rostered but never started.
Injury adjusted % of starts made while rostered by drafting team,picks,"Start rate for the drafting team counting only weeks he was available. starts / rostered weeks, both excluding injury/bye weeks.",Blank when there were no injury-free rostered weeks (or an unmade pick).
Points added,picks,Points the drafted player put up in the weeks he STARTED for the drafting team. Summed over the post-draft tenure window.,Blank for an unmade pick; ≥ 0 for every made pick.
Avg points added,picks,Points added per started week. Points added / started weeks for this team.,Blank for an unmade pick; 0 for a made pick with no starts.
Avg points added adjusted by position,picks,"Avg points added scaled for position. Each started week's points × (league starter avg / position avg), then / started weeks.",Blank for an unmade pick; 0 for a made pick with no starts.
Commissioner moved?,picks,TRUE when this pick changed owners outside a normal recorded trade — the pick belongs to a non-original owner but no trade event explains the move (typical for picks moved beyond Sleeper's ~3-year window).,Such picks aren't added to trades.csv; assumed a single move from original to current owner.
Number of trades,picks,How many times the pick changed hands by trade — recorded Sleeper trades plus off-platform commissioner moves the commissioner re-applied by hand.,"The full ownership lineage lives in the hover-comment on the pick's first cell. Award/non-tradeable picks (2020 startup, 2021 vet draft, 2.09 reward, 5.xx buy) count 0."
Link to next transaction,picks,Clickable jump to the drafted PLAYER's first move after the draft ('#N' transaction or 'T#N' trade). The draft row starts his player chain.,Blank for an unmade pick or a player with no post-draft events.
Link to previous transaction,picks,Clickable jump to the PICK's last trade before the draft ('T#N'). The draft row ends the pick's trade chain.,Blank for an unmade or never-traded pick.
Commissioner wash exclusion,transactions / trades / all transaction & trade counts,A single-day commissioner correction that leaves a roster exactly as it started is dropped entirely. Triggered when every player moved nets to zero on its roster within one calendar day and a commissioner action was involved.,"Covers commissioner add+drop, same-day re-adds, undone adds, and reversed trades. Excluded from every transaction/trade count and detail."
NFL team,player_week,The player's real NFL team that week. Resolved in order: nflverse week stats → season stats → weekly roster (catches IR/suspended/PUP players with no stats) → the sentinel 'NFL' only if he had no roster at all that season (free agent / retired). Team DSTs and unmapped players keep Sleeper's team.,A player on the 'NFL' sentinel is never flagged on bye (no schedule).
Activated Cuff?,player_week,"TRUE when a handcuff actually had to start. This player STARTED, his own last-5 average is under 10, and a same-NFL-team/same-position teammate who averages 10+ more PPG is injured/suspended.",The hurt teammate needn't have been a starter. Drives 'Number of cuffs started'.
Difference from best startable bench,player_week,Whether starting this player was the right call. His points − the highest-scoring bench player who could have started instead.,Negative = a benched player out-scored him (bad call).
Difference from worst benchable starter,player_week,For a bench player: his points − the weakest starter he could have replaced. Positive = he should have played.,
Tanking,team_week / team_year / team_all_time,"How hard a team is tanking: high when it under-scores the league while stockpiling young players and draft picks. Weekly average of five 0-1 signals — below-league PF, below-league Max PF, young roster (incl. picks), this year's picks, and future draft capital. team_year = the final week's value; team_all_time = mean of seasons.",PF/age signals are season-to-date. Never summed across weeks (each value is already a running average).
Luck (team_all_time: 'Avg yearly luck'),team_week / team_year (Luck); team_all_time (Avg yearly luck),"How lucky or unlucky a team's result was, given how it and its opponent actually played — rewards unlucky losses / strong-but-beaten weeks, penalizes lucky wins. Weekly composite of: beating (or missing) a pregame talent estimate, the opponent collapsing or your studs popping (counted only when the game was close), a heavy penalty for injuries/byes, plus efficiency, close-game and bad-beat terms and an extra hit when hurt starters cost a winnable game. team_year Luck = sum of weekly Luck; team_all_time 'Avg yearly luck' = mean of the season totals.",Calibrated so winning to your talent nets ≈ 0; each loss-from-hardship week subtracts 0.25. All-time averages seasons (not weeks) to stay fair across tenures. Full weighting in plan/LUCK_REWORK.md.
Hardship,team_week / team_year / team_all_time / league_week,"Fantasy points a team lost to injury/suspension that week. Sum, over every rostered player who missed to injury or suspension (starter or bench, not a bye), of his expected-if-healthy points (recent scoring baseline, floored at 0). Year/all-time/league sum the weekly values.",Higher = more production knocked out (not schedule strength). Byes never count. 'Starter-adjusted Hardship' weights each by likelihood of starting; both feed Luck.
Win Variance,team_year / team_all_time,-1 × (standings_place − (pf_place + maxpf_place) / 2).,Negative when a team finishes better than their PF / Max PF percentile would predict (over-performance via luck or close-game wins).
Drafting skill,team_year / team_all_time,"Sample-size-shrunk mean O-Score of the picks the team MADE (picks.Team — the roster that made the selection, formerly 'Final Team'): skill = (n·mean + 5·50)/(n+5), pulled toward the league-neutral 50. Per (Team, Year) and all-time.",Higher = better drafting. The shrinkage keeps a 2-great-pick manager from out-ranking a 25-solid one. Blank with no made picks; vet / blank-O-Score picks drop out of the mean.
Trading skill,team_year / team_all_time,Sample-size-shrunk mean O-Score of the trades the team was in (trades.Team): skill = (n·mean + 5·50)/(n+5).,Higher = better trading. Blank with no trades; one-sided / untracked trades with a blank O-Score drop out.
Transaction skill,team_year / team_all_time,"Sample-size-shrunk WEIGHTED-mean O-Score of the team's waiver/FA transactions (transactions.Team): skill = (Σw·O-Score + 5·50)/(Σw + 5). Adds and swaps carry weight 1; pure drops (drop-only rows) carry weight 1/3, so they still register but a flurry of drops can't dominate.","Higher = better pickups. Blank with no transactions. Pure-drop moves ARE included, weighted 1/3 vs adds/swaps; only blank-O-Score moves drop out entirely."
All-play win %,team_year / team_all_time,"Schedule-luck-free win rate: each week, score the team against EVERY other team (not just its actual opponent). Win % = (Σ over weeks of teams with strictly lower PF that week) / (Σ over weeks of other teams). Per (Team, Year) on team_year; pooled over all weeks on team_all_time. Ties count as neither a win nor a loss but stay in the denominator (so they depress the rate). Format 0–1, 4 decimals like Win %.","Reveals true scoring strength independent of who you were scheduled against — a team can be top-half (the existing flag) yet have a mediocre all-play %, or vice versa. Blank for a (team, year) with no games (e.g. the not-yet-played current/future season)."
All-play win % minus Win %,team_year / team_all_time,All-play win % − actual Win % (team_all_time uses 'All time win %'). Positive = the team's actual record UNDER-shot its all-play scoring strength (unlucky schedule / lost close games); negative = the record OVER-shot it (lucky schedule / won close games).,A compact schedule-luck read. Blank when all-play % is blank (no games).
Playoff PF minus regular-season PF,team_all_time,"Clutch index (PF): the team's average points-for per game in the WINNERS'-bracket playoffs (Semifinal / Final / 3rd Place) minus its average in the regular season, all-time. Positive = raises their scoring in the playoffs.",team_all_time only (#9). Blank for a team that never reached the winners' bracket. The toilet/consolation bracket is excluded.
Playoff win % minus regular-season win %,team_all_time,"Clutch index (win %): the team's win rate in the winners'-bracket playoffs minus its regular-season win rate, all-time. Positive = wins more in the playoffs.",team_all_time only (#9). Blank for a team that never made the winners' bracket.
Loss from hardship?,team_week,"TRUE when a LOSS would have flipped to a win had the team's hurt would-be-starters been available. Build a lineup from the ACTUAL STARTERS (real points) PLUS the injured/suspended players who missed (subbed in at their starter-adjusted hardship value), take the best valid lineup (bounded to lineup slots), and flag if that score beats the opponent's actual PF.","Healthy BENCH players are excluded — this asks 'what if their hurt guys were available', not 'what if they'd start/sat optimally'. Injury + suspension, never byes. Each flagged week also subtracts 0.25 from that week's Luck."
Losses from hardship,team_year / team_all_time,"Count of 'Loss from hardship?' weeks per (Team, Year) / per Team all-time.","Blank for a (team, year) with no games; a real 0 stays 0."
Loss from bye?,team_week,"The bye analog of 'Loss from hardship?', but SYMMETRIC across the matchup: TRUE when a LOSS would have flipped to a win in a world where NEITHER team had byes. For each team compute a bye GAIN = optimal(actual starters + its on-bye would-be-starters at their starter-adjusted bye value) − optimal(actual starters); add each side's gain to its ACTUAL score, and flag when this team's PF + its bye gain beats the opponent's PF + the opponent's bye gain.","Unlike 'Loss from hardship?' (a one-sided injury counterfactual vs the opponent's raw PF), a bye is a shared schedule artifact — so both teams get their on-bye would-be-starters back, not just one. The gain is a delta added to actual PF, so a gap between PF and summed player points on either side (e.g. the home-field-advantage bonus) can't manufacture a flip, and a bye-free week (0 gain both sides) reduces to PF vs PA. Bench players are excluded. Bye only, never injury/suspension."
Losses from byes,team_year / team_all_time,"Count of 'Loss from bye?' weeks per (Team, Year) / per Team all-time.","Blank for a (team, year) with no games; a real 0 stays 0."
Loss from hardship (2-sided)?,team_week,"The SYMMETRIC 'no-injury world' analog of 'Loss from bye?', for injuries/suspensions: TRUE when a LOSS would have flipped to a win once BOTH teams are healed. For each team compute a hardship GAIN = optimal(actual starters + its injured/suspended would-be-starters at their starter-adjusted hardship value) − optimal(actual starters); add each side's gain to its ACTUAL score, and flag when this team's PF + its gain beats the opponent's PF + the opponent's gain.","Differs from the one-sided 'Loss from hardship?' (which heals only this team vs the opponent's raw PF). Bench players excluded. Injury + suspension, never byes."
Win from hardship (2-sided)?,team_week,The mirror of 'Loss from hardship (2-sided)?': TRUE when a WIN would have flipped to a LOSS once BOTH teams are healed of injuries/suspensions — this team's PF + its hardship gain falls short of the opponent's PF + the opponent's hardship gain.,"A win gifted by the opponent sitting more injured/suspended starter value than this team. Injury + suspension, never byes."
Losses from hardship (2-sided),team_year / team_all_time,"Count of 'Loss from hardship (2-sided)?' weeks per (Team, Year) / per Team all-time.","Blank for a (team, year) with no games; a real 0 stays 0. The two-sided complement to the one-sided 'Losses from hardship'."
Wins from hardship (2-sided),team_year / team_all_time,"Count of 'Win from hardship (2-sided)?' weeks per (Team, Year) / per Team all-time — i.e. how many of the team's wins would be losses in a two-sided no-injury world.","Blank for a (team, year) with no games; a real 0 stays 0."
